title,genre,rating,status,episodes,release year,description
Yuu☆Yuu☆Hakusho: Two Shots/Noru ka Soru ka,"['Anime', 'Hành động', 'Hài hước', 'Võ thuật', 'Phiêu lưu', 'Siêu nhiên', 'Shounen', 'Demon']","['6.9', '29']",Hoàn thành,1,2018,"Tập đặc biệt nói đến câu chuyện về cách Kurama và Hiei gặp nhau, cũng như chương áp chót của manga ""All or nothing"". trong đó cho thấy các nhân vật chính tái hợp để giải quyết về vấn đề con tin trong thế giới linh hồn.v"
Hinomaruzumou,"['Anime', 'Võ thuật', 'Shounen', 'Thể thao']","['9.2', '1014']",Hoàn thành,24,2018,"Câu chuyện kể về Ushio Hinomaru, một cậu học sinh năm nhất ""nhỏ con"", không phải thiên tài xuất chúng, không có may mắn trời ban, cũng không xuất thân gia thế, chỉ có NGHỊ LỰC và KHỔ LUYỆN... đến với CLB Sumô vắng hoe chả ma nào để ý tới của trường cao trung Oodachi. Sumô vốn là thế giới cho những kẻ ""to"", ""nặng"", nhìn thoáng qua thì cậu ấy không có cửa rồi, nhưng thế mà...!? Hãy cùng Ushio và CLB bé nhỏ của cậu ấy leo tới đỉnh cao vinh quang, danh hiệu Yokozuna. Một huyền thoại sumô nảy lửa - không được phép lùi bước trên sàn đấu!!"
Ken En Ken: Aoki Kagayaki,"['Anime', 'Hành động', 'Võ thuật', 'Giả tưởng', 'Phiêu lưu', 'Demon']","['8.5', '1254']",Hoàn thành,13,2018,Ken En Ken: Aoki Kagayaki sẽ có nội dung lấy bối cảnh thời Xuân Thu chiến quốc vào những năm 770 – 476 trước công nguyên.
Baki,"['Anime', 'Hành động', 'Võ thuật', 'Shounen']","['9.1', '2695']",Hoàn thành,26,2018,"Nhân vật chính, Baki Hanma, tập luyện cố gắng vs mục đích vượt qua cha mình, Yujiro Hanma, chiến binh mạnh nhất trên thế giới. Năm tử tù bạo lực và tàn bạo nhất thế giới đang tụ họp để đối mặt với Baki. Mục tiêu của họ là nếm thử mùi thất bại, sức mạnh và kỹ năng bá đạo của họ đã khiến họ chán ghét cuộc sống, và giờ họ tìm kiếm Baki với hy vọng rằng anh ta có thể đánh bại họ. Trong cuộc biến cố này, có các chiến binh võ thuật thế giới ngầm khác tụ tập để sát cánh cùng Baki đó là: Kaoru Hanayama, Gouki Shibukawa, Retsu Kaioh và Doppo Orochi. Một cuộc đụng độ hoành tráng giữa các tử tù tàn bạo và Baki vs những người bạn của anh ta bắt đầu! "
Toàn Chức Cao Thủ Phần 3,"['Trò chơi', 'CN Animation']","['9.3', '145']",Hoàn thành,17,2024,"Diệp Tu, cao thủ đứng đầu được vinh danh là bách khoa toàn thư của game Vinh Diệu, vì nhiều nguyên nhân mà bị câu lạc bộ đuổi đi. Sau khi giải nghệ, hắn trở thành nhân viên quản lý trong một tiệm net nho nhỏ. Thế nhưng, với kinh nghiệm game 10 năm, cùng với những hồi ức năm nào và món vũ khí tự chế vẫn chưa hoàn thành, hắn lại bắt đầu quay về con đường đỉnh cao ấy…"
The New Gate,"['Anime', 'Hành động', 'Trò chơi', 'Phiêu lưu', 'Xuyên không']","['8.1', '184']",Hoàn thành,12,2024,"Cổng Mới là trò chơi sinh tử trực tuyến với hàng chục nghìn người chơi. Nhờ Shin, người chơi kỳ cựu có tay nghề cao nhất, những người chơi khác cuối cùng sẽ bị loại khỏi trò chơi. Shin đã giết trùm cuối và tin rằng cuối cùng anh ta cũng có thể trốn thoát khi bị mù bởi một tia sáng bí ẩn. Anh tỉnh dậy và thấy mình đang ở thế giới trong game 500 năm sau! Thế là bắt đầu một chương mới trong cuộc đời của một cầu thủ huyền thoại vượt trội!"
Pon no Michi,"['Anime', 'Hài hước', 'Trò chơi', 'Siêu nhiên']","['6.4', '63']",Hoàn thành,12,2024,"Nashiko Jippensha, một nữ sinh trung học sống ở thành phố Onomichi, tỉnh Hiroshima, gặp rắc rối sau khi bị đuổi ra khỏi nhà. Cô nói: “Tôi không có nơi nào để đi chơi với bạn bè…” Khi Naoko biết rằng phòng khách mà cha cô từng điều hành giờ đã bị bỏ trống, cô quyết định xây lại nó thành nơi mọi người có thể tụ tập."
Toaru Ossan no VRMMO Katsudouki,"['Anime', 'Hành động', 'Hài hước', 'Trò chơi', 'Phiêu lưu']","['7.3', '130']",Hoàn thành,12,2023,"Đó là một game VRMMO (Trò chơi trực tuyến thực tế ảo) mang lại cho bạn một trải nghiệm chân thực đến mức có thể coi là ""cuộc sống thứ hai"" Tanaka Daichi là một ông chú nhân viên văn phòng trung niên.Ông ấy đang chơi game này với tên nhật vật là Earth. Để có thể tham gia chiến đấu nhưng không trở nên nổi bật, Earth tập trung tăng những kỹ năng được cho là bất lợi. Nấu những món ăn ngon, tự chế tạo vũ khí, một mình chinh phục những Dungeon khó... Earth đang tận hưởng ""cuộc sống thứ hai"" với lối chơi khác biệt của mình. Tuy nhiên, cách chơi của Earth rốt cuộc lại thu hút rất nhiều sự chú ý?! Đây là câu chuyện về một ông chú nhàm chán sống một cái tự do trong thế giới Fantasy của VRMMO."
Watashi no Oshi wa Akuyaku Reijou,"['Anime', 'Hài hước', 'Tình cảm', 'Trò chơi']","['7.8', '99']",Đang tiến hành,8,2023,N/A
KamiErab,"['Anime', 'Hành động', 'Trò chơi', 'Siêu năng lực']","['3.9', '42']",Đang tiến hành,6,2023,N/A
Level 1 dakedo Unique Skill de Saikyou desu,"['Anime', 'Hành động', 'Hài hước', 'Trò chơi', 'Phiêu lưu']","['8.6', '161']",Hoàn thành,12,2023,"Đây chính là phiên bản Anime của tiểu thuyết từng đứng đầu bảng xếp hạng ngày, tuần, tháng, quý của ""Tôi sẽ trở thành tiểu thuyết gia"". Sato Ryota là một nhân viên văn phòng của một công ty đen. Một ngày nọ, anh phát hiện ra bản thân đang ở trong một dungeon kỳ lạ... tại một thế giới bí ẩn đầy rẫy quái vật. Nhờ Emily, cô gái tình cờ gặp gỡ, anh đã thử kiểm tra chỉ số và phát hiện ra, thể lực lẫn ma lực của mình đều cố định ở mốc [1], mức yếu nhất! Trong lúc rơi vào tuyệt vọng, Ryota lại phát hiện ra mình sở hữu kỹ năng độc nhất mạnh nhất [Drop Skill All S]. Liệu Ryota có thể sống sót ở thế giới bí ẩn này không!? Chuyến phiêu lưu khủng nhất với tấm thân yếu nhất sẽ bắt đầu!"
Liar Liar,"['Anime', 'Hài hước', 'Học đường', 'Trò chơi']","['8.4', '149']",Hoàn thành,12,2023,"Phim diễn ra trên Đảo Học viện, nơi học sinh chơi “trò chơi” để tự xếp hạng. Trong trò chơi này, đơn vị tiền tệ được sử dụng là “sao” và học sinh có nhiều sao nhất sẽ giành được danh hiệu Bảy sao. Hiroto Shinohara, nhân vật chính, đánh bại cô gái mạnh nhất trường. Điều này khiến anh trở thành học sinh mạnh nhất mới trên đảo. Khi Hiroto đảm nhận vị trí cao nhất, anh ấy phải sử dụng mọi cách cần thiết để ở lại đó, ngay cả khi điều đó có nghĩa là lừa dối Himeji, cô hầu gái xinh đẹp của anh ấy, người đã hỗ trợ anh ấy với tư cách là chủ nhân của cô ấy, hoặc sự dính líu của anh ấy với Saionji, người thực sự là một phụ nữ giả. Trò chơi đấu trí bắt đầu và Hiroto phải sử dụng trí thông minh và sự khôn ngoan của mình để giành chiến thắng. Trò chơi cân não học đường đã bắt đầu, và chỉ có sự dối trá và trí thông minh mới có thể đưa Hiroto đến chiến thắng."
Yamada-kun to Lv999 no Koi wo Suru,"['Anime', 'Tình cảm', 'Trò chơi']","['8.9', '374']",Hoàn thành,13,2023,"Khi Akane sắp từ bỏ trò chơi game mà cô từng chơi với bạn trai thì lại gặp Yamada trong một tựa game khác cùng thể loại. Yamada trong cuộc sống ngoài đời thực có thể được coi là một ""huyền thoại"". Vấn đề duy nhất là anh ta CHỈ quan tâm đến game thôi. Khi tình cảm của Akane dành cho cậu ngày càng lớn, liệu Yamada có tập trung chơi game nữa không?"
Sword Art Online the Movie: Progressive - Scherzo of Deep Night ,"['Anime', 'Hành động', 'Tình cảm', 'Trò chơi', 'Phiêu lưu']","['9.4', '180']",Đang tiến hành,1,2022,N/A
Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu. 2,"['Anime', 'Hành động', 'Hài hước', 'Giả tưởng', 'Trò chơi', 'Phiêu lưu']","['8.8', '335']",Hoàn thành,12,2023,Phần 2 của Bofuri
Uzaki-chan wa Asobitai! Double (Ss2),"['Anime', 'Hài hước', 'Tình cảm', 'Đời thường', 'Trò chơi']","['8.5', '224']",Hoàn thành,13,2022,Mùa thứ 2 của anime Uzaki-chan wa Asobitai!
Seiken Densetsu: Legend of Mana - The Teardrop Crystal,"['Anime', 'Hành động', 'Giả tưởng', 'Trò chơi', 'Phiêu lưu']","['7.3', '142']",Hoàn thành,12,2022,Bộ anime được dựa trên tựa game Legend of Mana.
Overlord IV,"['Anime', 'Hành động', 'Giả tưởng', 'Trò chơi']","['9.7', '1292']",Hoàn thành,13,2022,Mùa thứ tư của Overlord
Sword Art Online: Progressive Movie - Hoshi Naki Yoru no Aria,"['Anime', 'Hành động', 'Tình cảm', 'Giả tưởng', 'Trò chơi', 'Phiêu lưu']","['9.7', '404']",Hoàn thành,1,2021,N/A
Build Divide: Code White (Ss2),"['Anime', 'Giả tưởng', 'Trò chơi']","['7.0', '62']",Đang tiến hành,12,2022,Mùa thứ 2 Của Anime Build Divide
"Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu","['Anime', 'Hành động', 'Giả tưởng', 'Trò chơi']","['8.9', '589']",Đang tiến hành,12,2022,"Tỉnh dậy ở thế giới mới với trang bị full giáp full vũ khí, Cuộc đời tiếp theo của cậu tưởng chừng sẽ rất sung sướng nhưng đời chẳng như mơ, cậu được tặng kèm 1 thân hình ""Skeleton"" với khuôn mặt Ngáo. Trên đường đi tìm thuốc giải cho cơ thể mình, cậu thu phục được 1 con pet và hợp tác với một cô nàng Dark Elf xinh đẹp. Chuỗi ngày ""hạnh phúc"" và đau khổ của cậu bắt đầu từ đây...."
RPG Fudousan,"['Anime', 'Hài hước', 'Giả tưởng', 'Đời thường', 'Trò chơi']","['7.1', '62']",Đang tiến hành,12,2022,"Câu chuyện kể về Kotone, một pháp sư làm việc tại một công ty bất động sản trong một thế giới giả tưởng. Kotone giúp nhiều khách hàng khác nhau, từ một thuật sĩ chiêu hồn đến một nhân viên lễ tân nuôi một con pegasus, tìm một nơi để gọi về nhà."
Build Divide: Code Black,"['Anime', 'Hành động', 'Giả tưởng', 'Trò chơi']","['8.4', '170']",Hoàn thành,12,2021,"“Tôi có thể nhìn thấy nó. Cách tôi có thể giành chiến thắng…” “Lần này tôi sẽ đánh bại anh ta. Vì vậy, hãy đến với tôi một lần nữa … chấp nhận! ‘Bloom, những bài thủ của linh hồn!'” Ở New Kyoto, một thành phố được cai quản bởi “King”, giá trị của một người được xác định bởi sức mạnh của người đó trong trò chơi thẻ giao dịch Build Divide. Tin đồn xoay quanh New Kyoto và King. “Nếu bạn đánh bại King trong Build Divide, mọi điều ước sẽ được hoàn thành.” Và để thách đấu King, người ta phải tham gia vào trận chiến TCG được gọi là Rebuild, và “Chìa khóa” phải được hoàn thành. Mọi người đều có một ước muốn mà họ mong ước hoàn thành. Teruto Kurabe, một chàng trai thề sẽ hạ gục King, và Sakura Banka, cô gái bí ẩn hướng dẫn anh ta, cả h ai lao mình vào trận chiến Rebuild. Với đấu trường New Kyoto, trận chiến của Teruto bắt đầu và những bức màn bí ẩn dần được hé lộ."
Yu☆Gi☆Oh: Sevens,"['Anime', 'Hành động', 'Giả tưởng', 'Shounen', 'Trò chơi']","['3.4', '161']",Đang tiến hành,57,2020,"Một bộ anime truyền hình mới cho kỷ niệm 20 năm nhượng quyền anime. Câu chuyện diễn ra trong tương lai tại thị trấn Gouha. Yuuga Oudou, một học sinh lớp năm, yêu thích cả phát minh và đấu tay đôi. Luke, bạn cùng lớp của anh ấy là một ""đấu sĩ số một tự phong tại trường tiểu học Gouha 7"". Gakuto là chủ tịch hội học sinh của trường và Romin là bạn cùng lớp của Yuuga."
100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season,"['Anime', 'Hành động', 'Giả tưởng', 'Shounen', 'Trò chơi', 'Drama']","['8.8', '268']",Hoàn thành,12,2021,Mùa thứ 2 của anime 100-man no Inochi no Ue ni Ore wa Tatteiru
Kyuukyoku Shinka shita Full Dive RPG ga Genjitsu yori mo Kusoge Dattara,"['Anime', 'Hành động', 'Hài hước', 'Giả tưởng', 'Trò chơi']","['6.6', '604']",Hoàn thành,12,2021,"Trong một biến cố bất ngờ, cậu học sinh trung học buồn tẻ Hiro Yuuki đã có được trò chơi nhập vai lặn đầy đủ Kiwame Quest. Được tạo ra bởi công nghệ tốt nhất, trò chơi tuyên bố đưa thực tế đến cùng cực, từ đồ họa tuyệt đẹp, hành vi của NPC, đến hương thơm của thảm thực vật và thậm chí cả cảm giác gió lướt qua da — mọi thứ đều là kết quả của một tay nghề cuối cùng. Ngoại trừ, trò chơi hơi quá thực tế và lộn xộn để rõ ràng. Kiwame Quest có hơn mười triệu lá cờ và phản ánh khả năng thể chất ngoài đời thực của người chơi trong trò chơi. Bị đánh trong game cũng đau ngoài đời và vết chém phải mất nhiều ngày mới lành. Phần thưởng duy nhất ở đây là cảm giác hoàn thành. Hãy chinh phục trò chơi căng thẳng nhất trong lịch sử không thể chơi tùy tiện! (Nguồn: MAL News)"
Cardfight!! Vanguard overDress,"['Anime', 'Hành động', 'Trò chơi']","['4.2', '39']",Đang tiến hành,4,2021,"Yu-yu là một cậu bé sống ở Kanazawa, tỉnh Kaga. Là một cậu bé 15 tuổi và học năm ba sơ trung. Cậu có khả năng cảm nhận được cảm xúc của người khác, nhưng cậu lại hay gặp rắc rối vì không thể từ chối bất kì yêu cầu nào. Một ngày nọ, Yu-yu không thể chịu nổi sở thích của các chị của cậu nên đã bỏ nhà ra đi. Người đã cứu cậu là Megumi Okura. Megumi đưa Yu-yu tới công viên giải trí ban đêm có tên là “Wonder Hill” nơi mà nhóm bạn của cô tụ tập. Tại công viên này, Yu-yu đã được gặp gỡ Megumi, Zakusa Ishikame, và Tomari Seto, những thành viên của “Đội Blackout,” một nhóm người tụ tập lại để chơi Vanguard hàng đêm. Vào tối hôm đó, một trận chiến nảy lửa đặt danh dự cả đội lên trên. Đội trưởng của Blackout, Danji Momoyama, và fighter bí ẩn và mạnh mẽ, Tohya Ebata. Khi Yu-yu quan sát, trận đấu đã trở thành một thế giới của sự tưởng tượng. Đây là khoảnh khắc Yu-yu lần đầu được tiếp xúc với Vanguard, một thế giới mà cậu chưa từng nhìn thấy, và được vẽ nên bởi sự đam mê mãnh liệt – đó chính là những người bạn mới trong chuyến hành trình của cậu."
Log Horizon: Entaku Houkai,"['Anime', 'Hành động', 'Giả tưởng', 'Phiêu lưu', 'Trò chơi']","['9.3', '329']",Hoàn thành,12,2021,Phần thứ ba của series Log Horizon
DOTA: Dragon's Blood,"['Anime', 'Hành động', 'Giả tưởng', 'Trò chơi']","['8.0', '29']",Hoàn thành,8,2021,Chàng Hiệp Sĩ Rồng đầy mâu thuẫn nhưng dũng cảm sử dụng sức mạnh rồng bên trong mình để chống lại tên quỷ trong bộ phim đầy sử thi dựa theo tựa game online DoTA
Shadowverse,"['Anime', 'Giả tưởng', 'Trò chơi']","['6.8', '45']",Đang tiến hành,7,2020,Hiiro Ryuugasaki cuối cùng cũng có điện thoại và đã cài trò chơi phổ biến là Shadowverse. Và bắt đầu hành trình na ná xém tựa Yugi ồ dé.
100-man no Inochi no Ue ni Ore wa Tatteiru,"['Anime', 'Hành động', 'Giả tưởng', 'Shounen', 'Trò chơi', 'Drama']","['8.6', '335']",Hoàn thành,12,2020,"Yusuke Yotsuya là một học sinh lớp 9, sống thực tế, không thân thiện và không hề tham gia bất cứ hoạt động trong CLB nào. Đến một ngày nọ, cậu cùng hai người bạn nữ cùng lớp đã bất ngờ bị chuyển đến một thế giới khác, nơi mà họ phải hợp tác với nhau để chống chọi lại cuộc sống ở thế giới mới. Yotsuya là một người đơn độc và luôn sống theo ý muốn của mình, nhưng làm thế nào để cậu có thể trở thành một anh hùng được? Hãy sẵn sàng cho một câu chuyện giả tưởng có một không hai, thách thức trí tưởng của khán giả nào."
Gundam Build Divers Re:Rise,"['Anime', 'Viễn tưởng', 'Trò chơi', 'Mecha']","['8.2', '104']",Hoàn thành,28,2019,New Gundam Rebuild Divers loạt stream theo đường chính thức Gundam Channel.
Detective Conan: Black Iron Submarine,"['Anime', 'Hành động', 'Thám tử', 'Shounen', 'Phiêu lưu']","['8.8', '16']",Hoàn thành,1,2023,N/A
Ron Kamonohashi: Thám Tử Loạn Trí,"['Anime', 'Hài hước', 'Thám tử', 'Thriller']","['7.0', '64']",Hoàn thành,13,2023,"Mặc dù thiếu những kỹ năng phù hợp với vai trò của mình trong đội điều tra Sở Cảnh sát Thủ đô, Totomaru Isshiki vẫn muốn giải quyết các vụ giết người và giúp đỡ mọi người. Theo lời khuyên của một trong những tiền bối của mình, anh mạo hiểm tranh thủ sự giúp đỡ của Ron Kamonohashi ẩn dật. Năm năm trước, Ron là thám tử triển vọng nhất của Học viện Đào tạo Thám tử lừng danh Blue; tuy nhiên vì những lý do mà công chúng không biết, ông lại chìm vào quên lãng. Totomaru mong đợi một người đàn ông ăn mặc lịch sự và điềm tĩnh; nhưng những gì anh ta nhận được là một kẻ lập dị với mái tóc bù xù và không bị ngăn cấm. Sau nhiều năm cô độc, Ron hầu như không còn giống con người trước đây của mình và thậm chí anh còn từ chối nghe thám tử nói chuyện. Tuy nhiên, ngay khi Ron từ chối, anh ta đã lật tẩy và lao thẳng vào vụ án giết người hàng loạt hiện tại. Lý do thực sự khiến Ron rút lui khỏi thế giới thám tử không phải vì thiếu ham muốn, mà là vì điều gì đó nằm ngoài tầm kiểm soát của anh ấy—và Totomaru có thể chính là chìa khóa để anh ấy quay trở lại với công việc trước đây. Cùng nhau, viên sĩ quan mắt to và thám tử loạn trí giải quyết từng bí ẩn xảy đến với họ"
 Conan Movie 26: Tàu Ngầm Sắt Màu Đen,"['Anime', 'Thám tử', 'Shounen', 'Phiêu lưu']","['8.8', '45']",Hoàn thành,1,2023,N/A
Thám Tử Lừng Danh Conan,"['Anime', 'Hành động', 'Hài hước', 'Phiêu lưu', 'Shounen', 'Thám tử']","['8.3', '3891']",Đang tiến hành,1088,1996,"Mở đầu câu truyện, cậu học sinh trung học 17 tuổi (trong truyện tranh là 16) Shinichi Kudo (Jimmy Kudo) bị biến thành cậu bé Conan Edogawa. Shinichi trong phần đầu của Thám tử lừng danh Conan được miêu tả là một thám tử học đường. Trong một lần đi chơi công viên ""Miền Nhiệt đới"" với cô bạn từ thuở nhỏ (cũng là bạn gái) Ran Mori (Rachel Moore), cậu bị dính vào vụ án một hành khách trên Chuyến tàu tốc hành trong công viên, Kishida (Kenneth), bị giết trong một vụ án cắt đầu rùng rợn. Cậu đã làm sáng tỏ vụ án và trên đường về nhà, chứng kiến một vụ làm ăn mờ ám của những người đàn ông mặc toàn đồ đen. Kudo bị phát hiện, bị đánh ngất sau đó những người đàn ông áo đen đã cho cậu uống một thứ thuốc độc chưa qua thử nghiệm là Apotoxin-4869 (APTX4869) với mục đích thủ tiêu cậu. Tuy nhiên chất độc đã không giết chết Kudo. Khi tỉnh lại, cậu bàng hoàng nhận thấy thân thể mình đã bị teo nhỏ trong hình dạng của một cậu học sinh tiểu học."
Undead Girl Murder Farce,"['Anime', 'Thám tử', 'Lịch sử', 'Siêu nhiên', 'Ma cà rồng']","['9.2', '194']",Hoàn thành,13,2023,"Cuối thế kỷ 19—vợ của một ma cà rồng bị sát hại, và thám tử được gọi là người sử dụng lồng được gọi đến để phá án. Nhưng còn nhiều điều nữa về vị thám tử và chiếc lồng chim có rèm mà anh ta mang theo... sau tất cả, khi giải quyết một vụ án liên quan đến quái vật, có thể chỉ cần một người biết một điều! (Nguồn: Truyện tranh Kodansha Hoa Kỳ)"
Record of Ragnarok Season 2,"['Anime', 'Hành động', 'Giả tưởng', 'Thám tử', 'Drama', 'Siêu nhiên']","['9.6', '278']",Hoàn thành,15,2023,Phần 2 của Record of Ragnarok
"Fuufu Ijou, Koibito Miman.","['Anime', 'Hài hước', 'Tình cảm', 'Học đường', 'Thám tử', 'Seinen']","['9.0', '513']",Hoàn thành,12,2022,"Jirou, một học sinh năm ba ở trường trung học, bị buộc phải sống với một cô bạn tên Akari theo một khóa học gọi là ""Cặp đôi thực hành"". Để được ghép đôi với người mình thích, họ sẽ hành động như một cặp vợ chồng ...!?"
Layton Mystery Tanteisha: Katri no Nazotoki File,"['Anime', 'Hài hước', 'Thám tử']","['4.0', '49']",Đang tiến hành,50,2018,"Katrielle Layton là con gái của giáo sư Layton, người đã mất tích cách đây rất lâu. Để tìm tung tích của cha, cô thành lập một văn phòng thám tử cùng với hai trợ lý là Noah và chú chó biết nói Sharo. Ba người họ bắt đầu cuộc hành trình giải mã những bí ẩn kỳ thú quanh London. Bằng tài phán đoán và khả năng suy luận kế thừa từ cha, Katrielle cùng hai người bạn đồng hành chạm trán vô vàn những người bạn mới, và những vụ án ly kỳ vô tiền khoáng hậu."
Yuukoku no Moriarty OVA,"['Anime', 'Tình cảm', 'Thám tử', 'Lịch sử', 'Shounen', 'Psychological']","['5.9', '39']",Hoàn thành,2,2022,N/A
Sankaku Mado no Sotogawa wa Yoru,"['Anime', 'Thám tử', 'Shounen AI', 'Drama', 'Siêu nhiên']","['7.9', '89']",Hoàn thành,12,2021,"Nhân viên cửa hàng sách nhút nhát Kosuke Mikado có khả năng nhìn thấy ma và linh hồn, một khả năng mà anh ta ước gì anh ta không có, vì những gì anh ta nhìn thấy thường khiến anh ta kinh hãi. Rihito Hiyakawa, một nhà trừ tà có sức mạnh siêu nhiên cũng như sức mạnh xã hội của anh ta yếu đi, dường như không sợ bất cứ điều gì, dù là sinh tử hay khác. Khi cặp đôi kỳ quặc này cùng nhau giải quyết những vụ án kỳ lạ xảy đến, phương pháp làm việc của họ có thể không hoàn toàn an toàn cho công việc! (Nguồn: Sublime Manga)"
Tesla Note,"['Anime', 'Hành động', 'Thám tử', 'Shounen']","['5.5', '39']",Đang tiến hành,2,2021,N/A
Magia Record: Mahou Shoujo Madoka☆Magica Gaiden (TV) 2nd Season,"['Anime', 'Hành động', 'Thám tử', 'Drama']","['7.2', '35']",Hoàn thành,9,2021,Mùa thứ 2 của anime Magia Record: Mahou Shoujo Madoka☆Magica Gaiden (TV).
Death Note Relight 1: Visions Of A God,"['Anime', 'Hành động', 'Siêu nhiên', 'Thám tử', 'Bí ẩn', 'Psychological']","['8.9', '44']",Hoàn thành,1,2007,"Phần remake thông qua lời kể của Ryuk, nội dung không khác gì bản TV series nhưng dưới diễn biến khác và có một số phân cảnh không có trong phần TV series."
Kabukichou Sherlock,"['Anime', 'Thám tử']","['8.5', '63']",Hoàn thành,24,2019,"Phía đông của phường Ward Ward quận Kabuki-chou được thắp sáng bằng đèn neon trải dài khắp trung tâm của thành phố hỗn loạn này. Nơi nào ánh sáng chiếu vào, nơi đó cũng có những bóng sâu. Rèm cửa nổi lên trên sân khấu đêm này, nơi xảy ra vụ án mạng kỳ quái! Đây có phải là hồi hộp? Không, hài kịch? Một bộ phim không thể phân biệt sắp bắt đầu giáo dục"
Psycho-Pass 3,"['Anime', 'Hành động', 'Viễn tưởng', 'Thám tử', 'Psychological']","['8.8', '57']",Hoàn thành,8,2019,Phần thứ 3 của series Psycho-Pass
Cop Craft,"['Anime', 'Hành động', 'Viễn tưởng', 'Giả tưởng', 'Thám tử']","['9.3', '506']",Hoàn thành,12,2019,"15 năm trước, một cánh cổng siêu không gian được mở ra ở biển Thái Bình Dương kết nối Trái Đất với Dị Giới Semani của yêu tinh và quái vật."
"Gyakuten Saiban: Sono Shinjitsu, Igi Ari! Season 2","['Anime', 'Hài hước', 'Thám tử', 'Bí ẩn', 'Drama']","['8.6', '1512']",Hoàn thành,23,2018,"Mùa thứ 2 của anime Gyakuten Saiban: Sono ""Shinjitsu"", Igi Ari!"
Detective Conan Movie 22: Zero The Enforcer,"['Anime', 'Hành động', 'Phiêu lưu', 'Thám tử', 'Bí ẩn', 'Drama']","['8.7', '574']",Hoàn thành,1,2018,"Movie này xoay quanh nhân vật Tooru ""Zero"" Amuro và nghi vấn cảnh sát trưởng Kuroda là một trong những thành phần của tổ chức áo đen.

""Edge of Ocean"", một cơ sở mới của Vịnh Tokyo sẽ là nơi tổ chức Hội nghị Thượng đỉnh Tokyo. Hội nghị sẽ được tổ chức vào ngày 1/5 và có tới 22.000 cảnh sát được huy động, nhưng một vụ nổ bom cực lớn đột ngột xảy ra tại cơ sở siêu hoành tráng này! Tại nơi đó, vào lúc xảy ra vụ việc, lại nhìn thấy bóng dáng của Amuro Tooru thuộc tổ chức bí mật của Cảnh sát Quốc gia với bí danh là ""Zero"" đang điều khiển các cảnh sát an ninh trên toàn quốc. Tại hiện trường, cảnh sát đã phát hiện dấu vân tay của Mori Kogoro và ông bị bắt. Để chứng minh ông Mori vô tội, Conan đã bắt tay vào điều tra nhưng liên tục bị ""kẻ 3 mặt"" Amuro cản đường."
Hakata Tonkotsu Ramens,"['Anime', 'Hành động', 'Bí ẩn', 'Thám tử']","['9.2', '187']",Hoàn thành,12,2018,"Hakata Tonkotsu Ramens là câu chuyện lấy bối cảnh tại Fukuoka. Thoạt nhìn đây là một thành phố bình yên nhưng đằng sau vẻ bình yên đó lại là sự tha hóa và tội ác tràn lan. Phường Hakata của thành phố này là nơi tụ tập của các thế lực trong thế giới ngầm: sát thủ chuyên nghiệp, thám tử, kẻ đưa tin, kẻ moi móc thông tin,… Và ở nơi đây có tồn tại câu chuyện về “Sát thủ của các sát thủ”, khi câu chuyện này đang được lan truyền thì một kẻ giết người chuyên nghiệp đã xuất hiện."
Detective Conan Movie 21: The Crimson Love Letter,"['Anime', 'Hành động', 'Tình cảm', 'Lịch sử', 'Thám tử', 'Bí ẩn', 'Drama']","['8.1', '119']",Hoàn thành,1,2017,"Movie 21 Giới thiệu Heiji, Kazuha, và nhân vật mới Momiji."
"Trickster: Edogawa Ranpo ""Shounen Tanteidan"" yori","['Anime', 'Thám tử', 'Shounen', 'Bí ẩn']","['9.0', '215']",Hoàn thành,24,2016,"Phim lấy Bối cảnh đặt tại Tokyo trong những năm 2030 sau khi giải Tokyo Olympics được tổ chức, nơi Kobayashi và Hanazaki gặp gỡ nhau, cũng là lúc cuộc chiến định mệnh giữa tên tội phạm của thế kỷ: Quái nhân 20 gương mặt và nhà thám tử bí ẩn Akechi Kogorou bắt đầu hoạt động."
The Disappearance of Conan Edogawa: The Worst Two Days in History,"['Anime', 'Hài hước', 'Phiêu lưu', 'Shounen', 'Thám tử']","['7.6', '82']",Hoàn thành,1,2014,"Câu chuyện gây sốc về Conan mất đi trí nhớ, và còn bị bắt cóc. Vì không thể nhớ ra điều gì, Conan trở thành đồng phạm của những tên tội phạm, và bị đẩy vào tình huống cực kì nguy hiểm! Tội phạm chuyên nghiệp liên tục xuất hiện hết kẻ này tới kẻ khác, và khi Ai mải lo tìm kiếm Conan, Ran lại nhận được tin nhắn từ Shinichi?!
Sự thật ẩn giấu đằng sau vụ án phức tạp này là gì…? Một tác phẩm trinh thám và giải trí đan xen trên quy mô lớn!!"
Detective Conan: The Fugitive Kogorou Mouri,"['Anime', 'Hài hước', 'Thám tử']","['8.3', '38']",Hoàn thành,1,2014,Tập đặc biệt Kogorou Mouri Chúc mừng năm mới
